canonical_service,service_family,platform_count,platforms,raw_label_count
Basement Conversions,Other / Unmapped,1,Checkatrade,1
Basketball Training,Other / Unmapped,1,Airtasker,1
Bath resurfacing,Other / Unmapped,1,Airtasker,1
Beard Grooming,Other / Unmapped,1,Airtasker,1
Bed Repairs,Other / Unmapped,1,Airtasker,1
Bedfordshire,Other / Unmapped,1,Rated People,1
Bedroom Planner / Designer,Other / Unmapped,1,Checkatrade,1
Bedroom Showroom,Other / Unmapped,1,Checkatrade,1
Bedroom Supplier / Installer,Other / Unmapped,1,Checkatrade,1
Bedrooms,Other / Unmapped,1,Checkatrade,1
Belly Dancer,Other / Unmapped,1,Airtasker,1
Ben and Jerry's Delivery,Other / Unmapped,1,Airtasker,1
Berkshire,Other / Unmapped,1,Rated People,1
Berwickshire,Other / Unmapped,1,Rated People,1
Bespoke Metal Fabrication,Other / Unmapped,1,Checkatrade,1
Bespoke Staircases,Other / Unmapped,1,Checkatrade,1
Bicycle Courier,Other / Unmapped,1,Airtasker,1
Bicycle Service,Other / Unmapped,1,Airtasker,1
Bike / Bicycle Repairs,Other / Unmapped,1,Checkatrade,1
Bike Hanging,Other / Unmapped,1,Airtasker,1
Biomass Energy,Other / Unmapped,1,Checkatrade,1
Bird Control,Other / Unmapped,1,Airtasker,1
Bird Restriction Measures,Other / Unmapped,1,Checkatrade,1
Bird Sitting,Other / Unmapped,1,Airtasker,1
Birkenhead,Other / Unmapped,1,MyJobQuote,1
Birthday Balloon Delivery,Other / Unmapped,1,Airtasker,1
Birthday Gift Delivery,Other / Unmapped,1,Airtasker,1
Birthday Grams,Other / Unmapped,1,Airtasker,1
Blacksmith / Metal worker,Other / Unmapped,1,Rated People,1
Blacksmith / Metal workers,Other / Unmapped,1,Rated People,1
Blacksmithing,Other / Unmapped,1,Airtasker,1
Blind / Curtain / Shutter - Installation,Other / Unmapped,1,Rated People,1
Blind Fitter,Other / Unmapped,1,Checkatrade,1
Blind Repairs,Other / Unmapped,1,Airtasker,1
Blind Supplier,Other / Unmapped,1,Checkatrade,1
Blind Supply & Fit,Other / Unmapped,1,Checkatrade,1
Block Management,Other / Unmapped,1,Checkatrade,1
Blocked Baths,Other / Unmapped,1,Checkatrade,1
Blocked Drains,Other / Unmapped,1,Checkatrade,1
Blocked Sinks,Other / Unmapped,1,Checkatrade,1
Blocked Toilets,Other / Unmapped,1,Checkatrade,1
Blog Writing,Other / Unmapped,1,Airtasker,1
Blow Dry,Other / Unmapped,1,Airtasker,1
Board-Up Service,Other / Unmapped,1,Airtasker,1
Boat Transport,Other / Unmapped,1,Airtasker,1
Body exfoliation,Other / Unmapped,1,Treatwell,1
Bolton,Other / Unmapped,1,MyJobQuote,1
Bonded Aggregate Surfacing,Other / Unmapped,1,Checkatrade,1
Bootcamp Training,Other / Unmapped,1,Airtasker,1
Boring Excavation,Other / Unmapped,1,Airtasker,1
Bouncy Castle Hire,Other / Unmapped,1,Checkatrade,1
Bournemouth,Other / Unmapped,1,MyJobQuote,1
Boxing Instructor,Other / Unmapped,1,Airtasker,1
Braids & Locs,Other / Unmapped,1,Booksy,1
Brake Pad Replacement,Other / Unmapped,1,Airtasker,1
Brake Repair,Other / Unmapped,1,Airtasker,1
Branding Designer,Other / Unmapped,1,Airtasker,1
Bread Delivery,Other / Unmapped,1,Airtasker,1
Breakdown Assistance,Other / Unmapped,1,Checkatrade,1
Breakfast Takeaway & Delivery,Other / Unmapped,1,Airtasker,1
Broadband Fault Finding,Other / Unmapped,1,Checkatrade,1
Broadband repair,Other / Unmapped,1,Checkatrade,1
