canonical_service,service_family,platform_count,platforms,raw_label_count
Loft Ladder Supplier,Other / Unmapped,1,Checkatrade,1
Loft Storage,Other / Unmapped,1,Checkatrade,1
Loft Storage Room,Other / Unmapped,1,Checkatrade,1
Loft and Attic Clearance,Other / Unmapped,1,Airtasker,1
Lofts / Loft Ladders,Other / Unmapped,1,Checkatrade,1
Log Cabins,Other / Unmapped,1,Checkatrade,1
Logo Design,Other / Unmapped,1,Airtasker,1
Logs,Other / Unmapped,1,Checkatrade,1
Londonderry,Other / Unmapped,1,Rated People,1
Lothians,Other / Unmapped,1,Treatwell,1
Lounge Repair,Other / Unmapped,1,Airtasker,1
Lunch Delivery,Other / Unmapped,1,Airtasker,1
MDF Cutting,Other / Unmapped,1,Airtasker,1
MDF Installation,Other / Unmapped,1,Airtasker,1
MMA Training,Other / Unmapped,1,Airtasker,1
MOT,Other / Unmapped,1,Checkatrade,1
Macbook Air Repair,Other / Unmapped,1,Airtasker,1
Macbook Repairs,Other / Unmapped,1,Airtasker,1
Made to Measure Blinds,Other / Unmapped,1,Checkatrade,1
Made to Measure Curtain,Other / Unmapped,1,Checkatrade,1
Made to Measure Curtain / Blinds,Other / Unmapped,1,Checkatrade,1
Made to Measure Shutters,Other / Unmapped,1,Checkatrade,1
Magento Developer,Other / Unmapped,1,Airtasker,1
Magician,Other / Unmapped,1,Airtasker,1
Make-up,Other / Unmapped,1,Booksy,1
Makeup Artist,Other / Unmapped,1,Airtasker,1
Man And A Van,Other / Unmapped,1,Checkatrade,1
Man With a Van,Other / Unmapped,1,Airtasker,1
Man/Woman with a Van,Other / Unmapped,1,Rated People,1
Market Research,Other / Unmapped,1,Airtasker,1
Marquee Hire,Other / Unmapped,1,Checkatrade,1
Martial Arts,Other / Unmapped,1,Airtasker,1
Mastic Sealant,Other / Unmapped,1,Checkatrade,1
Maternity Nurse,Other / Unmapped,1,Airtasker,1
Mazda Service,Other / Unmapped,1,Airtasker,1
McDonalds Delivery,Other / Unmapped,1,Airtasker,1
Meal Delivery,Other / Unmapped,1,Airtasker,1
Meal Preparation & Planning,Other / Unmapped,1,Airtasker,1
Meat Delivery,Other / Unmapped,1,Airtasker,1
Medal Mounting,Other / Unmapped,1,Airtasker,1
Member T&C’s apply,Other / Unmapped,1,Checkatrade,1
Memorial Gravestones Supplied,Other / Unmapped,1,Checkatrade,1
Men's,Other / Unmapped,1,Treatwell,1
Men's Tailoring,Other / Unmapped,1,Airtasker,1
Mental Health Services,Other / Unmapped,1,Airtasker,1
Merseyside,Other / Unmapped,1,Rated People,1
Metal Fabrication,Other / Unmapped,1,Checkatrade,1
Metal Gates,Other / Unmapped,1,Checkatrade,1
Metal Works,Other / Unmapped,1,Checkatrade,1
Metalwork / Blacksmith,Other / Unmapped,1,Checkatrade,1
Metalworks,Other / Unmapped,1,Airtasker,1
Mexican Takeaway,Other / Unmapped,1,Airtasker,1
Mice Control,Other / Unmapped,1,Airtasker,1
Microsoft Excel Help,Other / Unmapped,1,Airtasker,1
Microsoft Help,Other / Unmapped,1,Airtasker,1
Microsoft Powerpoint Help,Other / Unmapped,1,Airtasker,1
Microsoft Word Help,Other / Unmapped,1,Airtasker,1
Microwave Repair,Other / Unmapped,1,Airtasker,1
Mid Glamorgan,Other / Unmapped,1,Rated People,1
Middlesbrough,Other / Unmapped,1,MyJobQuote,1
Midlothian,Other / Unmapped,1,Rated People,1
Milk Delivery,Other / Unmapped,1,Airtasker,1
Mime Artist,Other / Unmapped,1,Airtasker,1
Mini / Micro Digger Hire,Other / Unmapped,1,Checkatrade,1
Mini Bus Hire,Other / Unmapped,1,Checkatrade,1
Mini Service,Other / Unmapped,1,Airtasker,1
Minibus Taxi,Other / Unmapped,1,Checkatrade,1
Mirror Cutting,Other / Unmapped,1,Airtasker,1
Mirror Hanging,Other / Unmapped,1,Airtasker,1
Mirror Repair,Other / Unmapped,1,Airtasker,1
Mirrors,Other / Unmapped,1,Checkatrade,1
Miscellaneous Services,Other / Unmapped,1,Checkatrade,1
Mobile Alloy Wheel Repair,Other / Unmapped,1,Airtasker,1
Mobile App,Other / Unmapped,1,Bark,1
Mobile App Development,Other / Unmapped,1,Airtasker,1
Mobile Bicycle Repair,Other / Unmapped,1,Airtasker,1
Mobile Bike Repair,Other / Unmapped,1,Airtasker,1
Mobile Car Airconditioning Service,Other / Unmapped,1,Airtasker,1
Mobile Car Battery Replacement,Other / Unmapped,1,Airtasker,1
Mobile Car Dent Repair,Other / Unmapped,1,Airtasker,1
Mobile Car Diagnostics,Other / Unmapped,1,Airtasker,1
Mobile Car Valet,Other / Unmapped,1,Airtasker,1
Mobile Discos,Other / Unmapped,1,Checkatrade,1
Mobile Dog Wash,Other / Unmapped,1,Airtasker,1
Mobile Pet Services,Other / Unmapped,1,Airtasker,1
Mobile Scratch Repair,Other / Unmapped,1,Airtasker,1
Mobile Wheel Refurbishment,Other / Unmapped,1,Airtasker,1
Mobility,Other / Unmapped,1,Checkatrade,1
Mobility Adaptions,Other / Unmapped,1,Checkatrade,1
Mobility Aids,Other / Unmapped,1,Checkatrade,1
Mobility Furniture,Other / Unmapped,1,Checkatrade,1
Mobility Scooter Repair,Other / Unmapped,1,Checkatrade,1
Mobility Scooter Service,Other / Unmapped,1,Airtasker,1
Mobility Scooters,Other / Unmapped,1,Checkatrade,1
Models,Other / Unmapped,1,Airtasker,1
Moped Repair,Other / Unmapped,1,Airtasker,1
Mopping,Other / Unmapped,1,Airtasker,1
Moray,Other / Unmapped,1,Rated People,1
Morrisons Grocery Delivery,Other / Unmapped,1,Airtasker,1
Mortgage Advisor,Other / Unmapped,1,Airtasker,1
Mortgages,Other / Unmapped,1,Yell,1
Mosaic Tiles,Other / Unmapped,1,Checkatrade,1
Mot Testing,Other / Unmapped,1,Yell,1
Mother's Day Gift Delivery,Other / Unmapped,1,Airtasker,1
Mother's Help,Other / Unmapped,1,Airtasker,1
Motivational Speaker,Other / Unmapped,1,Airtasker,1
Motor Home Sales,Other / Unmapped,1,Checkatrade,1
Motor Home Servicing / Leisure Accessories,Other / Unmapped,1,Checkatrade,1
Motor Homes,Other / Unmapped,1,Checkatrade,1
Move,Other / Unmapped,1,Airtasker,1
Muralists,Other / Unmapped,1,Airtasker,1
Music Services,Other / Unmapped,1,Bark,1
Mystery Shopping,Other / Unmapped,1,Airtasker,1
Nairn,Other / Unmapped,1,Rated People,1
Nanny,Other / Unmapped,1,Airtasker,1
Natural Stone Tiles,Other / Unmapped,1,Checkatrade,1
Nest Thermostat Installation,Other / Unmapped,1,Airtasker,1
Netflix Setup,Other / Unmapped,1,Airtasker,1
Network Administration,Other / Unmapped,1,Checkatrade,1
Network Cabling,Other / Unmapped,1,Checkatrade,1
Network Installation,Other / Unmapped,1,Checkatrade,1
Network Support,Other / Unmapped,1,Checkatrade,1
Network Troubleshooting,Other / Unmapped,1,Airtasker,1
Newcastle Upon Tyne,Other / Unmapped,1,MyBuilder,1
Newcastle upon Tyne,Other / Unmapped,1,MyJobQuote,1
Newsagents,Other / Unmapped,1,Yell,1
Nissan Service,Other / Unmapped,1,Airtasker,1
Norfolk,Other / Unmapped,1,Rated People,1
North West,Other / Unmapped,1,Treatwell,1
North Yorkshire,Other / Unmapped,1,Rated People,1
Northampton,Other / Unmapped,1,MyBuilder,1
Northamptonshire,Other / Unmapped,1,Rated People,1
Northumberland,Other / Unmapped,1,Rated People,1
Nottinghamshire,Other / Unmapped,1,Rated People,1
Nutritionist,Other / Unmapped,1,Airtasker,1
Odour Control,Other / Unmapped,1,Airtasker,1
Office Chair Repair,Other / Unmapped,1,Airtasker,1
Office Fit Out,Other / Unmapped,1,Airtasker,1
Oil & Filter Change,Other / Unmapped,1,Airtasker,1
Oil Tank Emptying Service,Other / Unmapped,1,Checkatrade,1
Oil Tank Installation,Other / Unmapped,1,Checkatrade,1
Oil Tank Repair,Other / Unmapped,1,Checkatrade,1
Oil Tank Servicing,Other / Unmapped,1,Checkatrade,1
Orangeries,Other / Unmapped,1,Checkatrade,1
Organic Food Delivery,Other / Unmapped,1,Airtasker,1
Orkney,Other / Unmapped,1,Rated People,1
Outbuilding,Other / Unmapped,1,Checkatrade,1
Oven Fan Repair,Other / Unmapped,1,Airtasker,1
Overview,Other / Unmapped,1,Checkatrade,1
Oxford,Other / Unmapped,1,MyJobQuote,1
Oxfordshire,Other / Unmapped,1,Rated People,1
PHP Developer,Other / Unmapped,1,Airtasker,1
PVC Pipe Repair,Other / Unmapped,1,Airtasker,1
PVC Spraying,Other / Unmapped,1,Airtasker,1
Packaging service,Other / Unmapped,1,Checkatrade,1
Pallet Collection & Disposal,Other / Unmapped,1,Airtasker,1
Pallet Delivery,Other / Unmapped,1,Airtasker,1
Pancake & Waffle Delivery,Other / Unmapped,1,Airtasker,1
Panel Beater,Other / Unmapped,1,Airtasker,1
Parcel Delivery,Other / Unmapped,1,Airtasker,1
Parking Sensor Replacement,Other / Unmapped,1,Airtasker,1
Partition Wall,Other / Unmapped,1,Rated People,1
Partition Walls,Other / Unmapped,1,Checkatrade,1
Party Helpers,Other / Unmapped,1,Airtasker,1
Party Wall Matters,Other / Unmapped,1,Checkatrade,1
Pasta Takeaway,Other / Unmapped,1,Airtasker,1
Pastry Chef,Other / Unmapped,1,Airtasker,1
Pattern Cutter,Other / Unmapped,1,Airtasker,1
Patterned Imprinted Concrete,Other / Unmapped,1,Checkatrade,1
Pebble Dashing,Other / Unmapped,1,Rated People,1
Pebble Dashing / Rough Casting,Other / Unmapped,1,Checkatrade,1
Pension Advisor,Other / Unmapped,1,Airtasker,1
Performance Tuning,Other / Unmapped,1,Checkatrade,1
Pergola Installation,Other / Unmapped,1,Airtasker,1
Period Property Restoration,Other / Unmapped,1,Checkatrade,1
Period Restoration,Other / Unmapped,1,Rated People,1
Perks,Other / Unmapped,1,Checkatrade,1
Personal Assistant,Other / Unmapped,1,Airtasker,1
Personal Concierge,Other / Unmapped,1,Airtasker,1
Personal Shopper,Other / Unmapped,1,Airtasker,1
Personal Stylist,Other / Unmapped,1,Airtasker,1
Personal Training,Other / Unmapped,1,Airtasker,1
Personalised Balloon Delivery,Other / Unmapped,1,Airtasker,1
Personalised Cupcakes,Other / Unmapped,1,Airtasker,1
Personalised Gift Delivery,Other / Unmapped,1,Airtasker,1
Perspex / Protective Screens,Other / Unmapped,1,Rated People,1
Perth and Kinross,Other / Unmapped,1,Rated People,1
Pet Care,Other / Unmapped,1,Airtasker,1
Pet Feeding,Other / Unmapped,1,Airtasker,1
Pet Food Delivery,Other / Unmapped,1,Airtasker,1
Pet Services,Other / Unmapped,1,Booksy,1
Pet Taxi,Other / Unmapped,1,Airtasker,1
Pet Transport,Other / Unmapped,1,Airtasker,1
Peterborough,Other / Unmapped,1,MyJobQuote,1
Peugeot Service,Other / Unmapped,1,Airtasker,1
Pharmacies,Other / Unmapped,1,Yell,1
Photo Editing and Retouching,Other / Unmapped,1,Airtasker,1
Photo Manipulations,Other / Unmapped,1,Airtasker,1
Photo Printing Service,Other / Unmapped,1,Airtasker,1
Photo Restorations,Other / Unmapped,1,Airtasker,1
Picture Hanging,Other / Unmapped,1,Airtasker,1
Pilates Instructor,Other / Unmapped,1,Airtasker,1
Piling,Other / Unmapped,1,Checkatrade,1
Pipe Fitter,Other / Unmapped,1,Checkatrade,1
Pizza Oven,Other / Unmapped,1,Rated People,1
Pizza Takeaway,Other / Unmapped,1,Airtasker,1
Plain Tiles,Other / Unmapped,1,Checkatrade,1
Planning / Design,Other / Unmapped,1,Checkatrade,1
Planning Consultant,Other / Unmapped,1,Airtasker,1
Planning Consultants,Other / Unmapped,1,Checkatrade,1
Plant Delivery,Other / Unmapped,1,Airtasker,1
Plant Hire / Sales,Other / Unmapped,1,Checkatrade,1
Plantation Shutter Installation,Other / Unmapped,1,Airtasker,1
Plantation Shutters,Other / Unmapped,1,Checkatrade,1
Planting,Other / Unmapped,1,Rated People,1
Plasma TV Repair,Other / Unmapped,1,Airtasker,1
Plastic Canopies,Other / Unmapped,1,Checkatrade,1
Play Areas,Other / Unmapped,1,Checkatrade,1
Ply Boarding,Other / Unmapped,1,Checkatrade,1
Plymouth,Other / Unmapped,1,MyJobQuote,1
Podiatrist,Other / Unmapped,1,Airtasker,1
Poetry Writing,Other / Unmapped,1,Airtasker,1
Pointing / Repointing,Other / Unmapped,1,Rated People,1
Polytunnels,Other / Unmapped,1,Checkatrade,1
Pond & Water Feature,Other / Unmapped,1,Rated People,1
Pond Construction,Other / Unmapped,1,Checkatrade,1
Pool Maintenance,Other / Unmapped,1,Airtasker,1
Pool Table Recovering,Other / Unmapped,1,Airtasker,1
Poole,Other / Unmapped,1,MyJobQuote,1
Popeye's Delivery,Other / Unmapped,1,Airtasker,1
Popular Locations,Other / Unmapped,1,Yell,1
Porcelain Tiles,Other / Unmapped,1,Checkatrade,1
Porch / Canopy,Other / Unmapped,1,Rated People,1
Porch Installation,Other / Unmapped,1,Checkatrade,1
Porches Repair,Other / Unmapped,1,Checkatrade,1
Porsche Service,Other / Unmapped,1,Airtasker,1
Portable Appliance Testing - PAT Testing,Other / Unmapped,1,Checkatrade,1
Portable offices,Other / Unmapped,1,Checkatrade,1
Post a job,Other / Unmapped,1,Rated People,1
Poster Design,Other / Unmapped,1,Airtasker,1
Powder Coating,Other / Unmapped,1,Checkatrade,1
Power Flushing,Other / Unmapped,1,Checkatrade,1
Power Point Installation,Other / Unmapped,1,Airtasker,1
Powys,Other / Unmapped,1,Rated People,1
Pre Purchase Car Inspection,Other / Unmapped,1,Airtasker,1
Prescription Delivery,Other / Unmapped,1,Airtasker,1
Presentations Design,Other / Unmapped,1,Airtasker,1
Press Release Writing,Other / Unmapped,1,Airtasker,1
Print Design,Other / Unmapped,1,Airtasker,1
Printer Help,Other / Unmapped,1,Airtasker,1
Printer Repairs,Other / Unmapped,1,Checkatrade,1
Printing,Other / Unmapped,1,Checkatrade,1
Printing Services,Other / Unmapped,1,Airtasker,1
Private Chef,Other / Unmapped,1,Airtasker,1
Private Doctor,Other / Unmapped,1,Airtasker,1
Private Doctors,Other / Unmapped,1,Bark,1
Product Testing,Other / Unmapped,1,Airtasker,1
Production,Other / Unmapped,1,Bark,1
Projector Installation,Other / Unmapped,1,Airtasker,1
Prom Dressmaker,Other / Unmapped,1,Airtasker,1
Proofreading,Other / Unmapped,1,Airtasker,1
Property Maintenance,Other / Unmapped,1,Airtasker,1
Property Maintenance / Repair,Other / Unmapped,1,Checkatrade,1
Property Renovation,Other / Unmapped,1,Checkatrade,1
Proposal Writing,Other / Unmapped,1,Airtasker,1
Pruning,Other / Unmapped,1,Checkatrade,1
Psychologist,Other / Unmapped,1,Airtasker,1
Pubs,Other / Unmapped,1,Yell,1
Puppy Training,Other / Unmapped,1,Airtasker,1
Purifiers,Other / Unmapped,1,Checkatrade,1
Quad Bike Repair,Other / Unmapped,1,Airtasker,1
Queueing Service,Other / Unmapped,1,Airtasker,1
RICS Condition Report,Other / Unmapped,1,Checkatrade,1
Rabbit Boarding,Other / Unmapped,1,Airtasker,1
Railings,Other / Unmapped,1,Checkatrade,1
Rainwater Harvesting,Other / Unmapped,1,Checkatrade,1
Range Cooker,Other / Unmapped,1,Checkatrade,1
Range Cooker Servicing / Repair,Other / Unmapped,1,Checkatrade,1
Rated Group,Other / Unmapped,1,Rated People,1
Rayburn Servicing / Repair,Other / Unmapped,1,Checkatrade,1
Real Estate,Other / Unmapped,1,Airtasker,1
Receptionist,Other / Unmapped,1,Airtasker,1
Recliner Chair Repair,Other / Unmapped,1,Airtasker,1
Recliner Repair,Other / Unmapped,1,Airtasker,1
Recycling,Other / Unmapped,1,Checkatrade,1
Refinishing,Other / Unmapped,1,Airtasker,1
Refrigerated Transportation,Other / Unmapped,1,Checkatrade,1
Refrigeration Services,Other / Unmapped,1,Checkatrade,1
Refurbishments,Other / Unmapped,1,Checkatrade,1
Regrouting,Other / Unmapped,1,Airtasker,1
Relationship Coach,Other / Unmapped,1,Airtasker,1
Renault Service,Other / Unmapped,1,Airtasker,1
Renewable Energy,Other / Unmapped,1,Checkatrade,1
Renewable Energy Specialist,Other / Unmapped,1,Rated People,1
Renewable Energy Specialists,Other / Unmapped,1,Rated People,1
Renfrewshire,Other / Unmapped,1,Rated People,1
Renovation Specialist,Other / Unmapped,1,Checkatrade,1
Repair & Technical Support,Other / Unmapped,1,Bark,1
Repointing,Other / Unmapped,1,Checkatrade,1
Report Writing,Other / Unmapped,1,Airtasker,1
Reptile Boarding,Other / Unmapped,1,Airtasker,1
Research Assistant,Other / Unmapped,1,Airtasker,1
Residential Grass Cutting,Other / Unmapped,1,Checkatrade,1
Resin Bond Surfacing,Other / Unmapped,1,Checkatrade,1
Resin Bound Surfacing,Other / Unmapped,1,Checkatrade,1
Restaurant Designers,Other / Unmapped,1,Airtasker,1
Restoration,Other / Unmapped,1,Checkatrade,1
Resume Writing,Other / Unmapped,1,Airtasker,1
Retaining Walls,Other / Unmapped,1,Airtasker,1
Return Loads,Other / Unmapped,1,Airtasker,1
Reversing Camera Installation,Other / Unmapped,1,Airtasker,1
Reviewed Tradespeople,Other / Unmapped,1,Checkatrade,1
Ridged Tiles Installation,Other / Unmapped,1,Checkatrade,1
Ridged Tiles Repair,Other / Unmapped,1,Checkatrade,1
Rise & Recline Chairs,Other / Unmapped,1,Checkatrade,1
Road Markings,Other / Unmapped,1,Checkatrade,1
Roast Dinner Delivery,Other / Unmapped,1,Airtasker,1
Roller Shutter Blinds Repair & Installation,Other / Unmapped,1,Airtasker,1
Roller Shutters,Other / Unmapped,1,Checkatrade,1
Roller Shutters - Installation / Repair,Other / Unmapped,1,Rated People,1
Roman Blind Fitter,Other / Unmapped,1,Airtasker,1
Roman Blinds Installation,Other / Unmapped,1,Airtasker,1
Ross and Cromarty,Other / Unmapped,1,Rated People,1
Router Modem Setup,Other / Unmapped,1,Airtasker,1
Roxburgh- Ettrick and Lauderdale,Other / Unmapped,1,Rated People,1
Rsj Beam,Other / Unmapped,1,Checkatrade,1
Ruby Developer,Other / Unmapped,1,Airtasker,1
Rutland,Other / Unmapped,1,Rated People,1
SQL Developer,Other / Unmapped,1,Airtasker,1
Safe Locks,Other / Unmapped,1,Checkatrade,1
Safes,Other / Unmapped,1,Checkatrade,1
Sail Shades,Other / Unmapped,1,Checkatrade,1
Sainsburys Delivery,Other / Unmapped,1,Airtasker,1
Salad Delivery,Other / Unmapped,1,Airtasker,1
Sale,Other / Unmapped,1,MyJobQuote,1
Sales Assistant,Other / Unmapped,1,Airtasker,1
Salon,Other / Unmapped,1,Fresha,1
Salvage,Other / Unmapped,1,Checkatrade,1
Samsung TV Repair,Other / Unmapped,1,Airtasker,1
Sauna Installation,Other / Unmapped,1,Airtasker,1
Sawblade Sharpening,Other / Unmapped,1,Airtasker,1
Scanner Setup,Other / Unmapped,1,Airtasker,1
Scarification,Other / Unmapped,1,Checkatrade,1
Scooter MOTs,Other / Unmapped,1,Checkatrade,1
Scooter Services,Other / Unmapped,1,Checkatrade,1
Scrap Cars,Other / Unmapped,1,Checkatrade,1
Scrap Metal,Other / Unmapped,1,Checkatrade,1
Scratch Repair,Other / Unmapped,1,Checkatrade,1
Screen Repair,Other / Unmapped,1,Airtasker,1
Seamstress,Other / Unmapped,1,Airtasker,1
Secondary Glazing,Other / Unmapped,1,Checkatrade,1
Self Defence Classes,Other / Unmapped,1,Airtasker,1
Septic Tank Emptying,Other / Unmapped,1,Checkatrade,1
Septic Tank Installation,Other / Unmapped,1,Checkatrade,1
Septic Tank Repair,Other / Unmapped,1,Checkatrade,1
Sewage Pump Installation,Other / Unmapped,1,Checkatrade,1
Sewage Pump Maintenance,Other / Unmapped,1,Checkatrade,1
Sewing,Other / Unmapped,1,Airtasker,1
Sewing Machine Repair,Other / Unmapped,1,Airtasker,1
Sharpening,Other / Unmapped,1,Airtasker,1
Shed Bases,Other / Unmapped,1,Checkatrade,1
Shed Cladding,Other / Unmapped,1,Airtasker,1
Shed Installation,Other / Unmapped,1,Airtasker,1
Shed Repair,Other / Unmapped,1,Checkatrade,1
Sheds,Other / Unmapped,1,Checkatrade,1
Shelf Hanging,Other / Unmapped,1,Airtasker,1
Shelving,Other / Unmapped,1,Checkatrade,1
Shetland,Other / Unmapped,1,Rated People,1
Shiplap Cladding,Other / Unmapped,1,Airtasker,1
Shop Fitting,Other / Unmapped,1,Checkatrade,1
Shopify Developer,Other / Unmapped,1,Airtasker,1
Shropshire,Other / Unmapped,1,Rated People,1
Shrub & Bush Trimming,Other / Unmapped,1,Airtasker,1
Sign Hanging,Other / Unmapped,1,Airtasker,1
Sign Makers,Other / Unmapped,1,Checkatrade,1
Sign Writers,Other / Unmapped,1,Checkatrade,1
Sign Writing,Other / Unmapped,1,Airtasker,1
Signage Designer,Other / Unmapped,1,Airtasker,1
Signage Installers,Other / Unmapped,1,Airtasker,1
Singer,Other / Unmapped,1,Airtasker,1
Sink Installation,Other / Unmapped,1,Airtasker,1
Skate Sharpening,Other / Unmapped,1,Airtasker,1
Skimming,Other / Unmapped,1,Checkatrade,1
Skip Bag Hire,Other / Unmapped,1,Checkatrade,1
Skip Hire Prices,Other / Unmapped,1,Checkatrade,1
Skirting,Other / Unmapped,1,Checkatrade,1
Skirting Board Installation,Other / Unmapped,1,Rated People,1
Skirting Boards,Other / Unmapped,1,Airtasker,1
Slab Laying,Other / Unmapped,1,Airtasker,1
Slate Tiles,Other / Unmapped,1,Checkatrade,1
Sleepers,Other / Unmapped,1,Checkatrade,1
Slough,Other / Unmapped,1,MyJobQuote,1
Small Animal Boarding,Other / Unmapped,1,Airtasker,1
Smart Heating Installation,Other / Unmapped,1,Checkatrade,1
Smart Home Technology Consultant,Other / Unmapped,1,Checkatrade,1
Smart Repairs,Other / Unmapped,1,Checkatrade,1
Smart Thermostat Installation,Other / Unmapped,1,Checkatrade,1
Smart Thermostats,Other / Unmapped,1,Checkatrade,1
Smokeless Fuel,Other / Unmapped,1,Checkatrade,1
Snack Delivery,Other / Unmapped,1,Airtasker,1
Snap Locks,Other / Unmapped,1,Checkatrade,1
Soakaway Clearance,Other / Unmapped,1,Checkatrade,1
Soakaways,Other / Unmapped,1,Checkatrade,1
Soda / Sand / Shot Blasting,Other / Unmapped,1,Checkatrade,1
Sofa Bed Repairs,Other / Unmapped,1,Airtasker,1
Soft Washing,Other / Unmapped,1,Checkatrade,1
Software Help,Other / Unmapped,1,Airtasker,1
Software Testing,Other / Unmapped,1,Checkatrade,1
Soil & Sand Delivery,Other / Unmapped,1,Airtasker,1
Soil Irrigation / Drainage,Other / Unmapped,1,Rated People,1
Solar Battery Storage,Other / Unmapped,1,Checkatrade,1
Solar Panel Repair,Other / Unmapped,1,Checkatrade,1
Solar Panel Servicing / Repair,Other / Unmapped,1,Checkatrade,1
Solar Panel Supply and Install,Other / Unmapped,1,Checkatrade,1
Solar Thermal Heating Installation,Other / Unmapped,1,Checkatrade,1
Solar Thermal Heating Servicing / Repair,Other / Unmapped,1,Checkatrade,1
Solid Fuel,Other / Unmapped,1,Checkatrade,1
Solihull,Other / Unmapped,1,MyJobQuote,1
Somerset,Other / Unmapped,1,Rated People,1
Sonos Speaker Repair,Other / Unmapped,1,Airtasker,1
Sony TV Repair & Setup,Other / Unmapped,1,Airtasker,1
Sound & Audio Visual Installation,Other / Unmapped,1,Rated People,1
Sound System Installation,Other / Unmapped,1,Airtasker,1
Soundproofing,Other / Unmapped,1,Airtasker,1
South Glamorgan,Other / Unmapped,1,Rated People,1
South Yorkshire,Other / Unmapped,1,Rated People,1
Speaker Repair,Other / Unmapped,1,Airtasker,1
Specialist Tradesmen,Other / Unmapped,1,Bark,1
Specialist Tradesperson,Other / Unmapped,1,Rated People,1
Specialist Tradespersons,Other / Unmapped,1,Rated People,1
Speech Writing,Other / Unmapped,1,Airtasker,1
Sports Coaches,Other / Unmapped,1,Airtasker,1
Sprinkler System,Other / Unmapped,1,Rated People,1
Sprinkler System Installation,Other / Unmapped,1,Airtasker,1
Squarespace Developer,Other / Unmapped,1,Airtasker,1
Staffing,Other / Unmapped,1,Airtasker,1
Staffordshire,Other / Unmapped,1,Rated People,1
Stain Protection,Other / Unmapped,1,Checkatrade,1
Stained Glass,Other / Unmapped,1,Checkatrade,1
Stained Glass Restoration,Other / Unmapped,1,Checkatrade,1
Staining,Other / Unmapped,1,Airtasker,1
Staircase Renovation,Other / Unmapped,1,Airtasker,1
Staircases,Other / Unmapped,1,Checkatrade,1
Stairlift Installation,Other / Unmapped,1,Checkatrade,1
Stairlift Repair,Other / Unmapped,1,Checkatrade,1
Standard Coving,Other / Unmapped,1,Rated People,1
Starbucks Delivery,Other / Unmapped,1,Airtasker,1
Starter Motor Repair,Other / Unmapped,1,Airtasker,1
Steel Bending Services,Other / Unmapped,1,Checkatrade,1
Steel Fabrication,Other / Unmapped,1,Checkatrade,1
Steel Fabrication / Structural steelwork,Other / Unmapped,1,Rated People,1
Steel Fabricators,Other / Unmapped,1,Checkatrade,1
Steel Work Design,Other / Unmapped,1,Checkatrade,1
Steering Wheel Repair,Other / Unmapped,1,Airtasker,1
Stirling and Falkirk,Other / Unmapped,1,Rated People,1
Stockport,Other / Unmapped,1,MyBuilder,1
Stoke On Trent,Other / Unmapped,1,MyBuilder,1
Stoke-on-Trent,Other / Unmapped,1,MyJobQuote,1
Stone Carving,Other / Unmapped,1,Checkatrade,1
Stone Cladding,Other / Unmapped,1,Airtasker,1
Stone Repairs,Other / Unmapped,1,Checkatrade,1
Stonemason,Other / Unmapped,1,Checkatrade,1
Storage Heating,Other / Unmapped,1,Checkatrade,1
Stored Gas,Other / Unmapped,1,Rated People,1
Stored Oil,Other / Unmapped,1,Rated People,1
Stoves / Fireplace Showroom,Other / Unmapped,1,Checkatrade,1
Stoves Installer,Other / Unmapped,1,Checkatrade,1
Strathclyde,Other / Unmapped,1,Treatwell,1
Stretched Ceilings,Other / Unmapped,1,Checkatrade,1
Structural Design,Other / Unmapped,1,Checkatrade,1
Structural Designer,Other / Unmapped,1,Checkatrade,1
Structural Engineer - Structural Calculations,Other / Unmapped,1,Checkatrade,1
Structural Engineering Services,Other / Unmapped,1,Checkatrade,1
Structural Steels,Other / Unmapped,1,Checkatrade,1
Structural Water Proofing,Other / Unmapped,1,Checkatrade,1
Suffolk,Other / Unmapped,1,Rated People,1
Suit Tailor,Other / Unmapped,1,Airtasker,1
Summer House Design / Construction,Other / Unmapped,1,Checkatrade,1
Summerhouse Installers,Other / Unmapped,1,Checkatrade,1
Summerhouse Repairs,Other / Unmapped,1,Checkatrade,1
Summerhouse Suppliers,Other / Unmapped,1,Checkatrade,1
Sunday Dinner Delivery,Other / Unmapped,1,Airtasker,1
Sunderland,Other / Unmapped,1,MyJobQuote,1
Supermarkets,Other / Unmapped,1,Yell,1
Surface Repair,Other / Unmapped,1,Checkatrade,1
Surrey,Other / Unmapped,1,Rated People,1
Sushi Chef,Other / Unmapped,1,Airtasker,1
Sushi Delivery,Other / Unmapped,1,Airtasker,1
Suspended Ceiling,Other / Unmapped,1,Rated People,1
Suspended Ceiling Contractors,Other / Unmapped,1,Checkatrade,1
Suspended Ceiling Installers,Other / Unmapped,1,Checkatrade,1
Suspended Ceiling Suppliers,Other / Unmapped,1,Checkatrade,1
Suspended Ceilings,Other / Unmapped,1,Checkatrade,1
Suspension Repair,Other / Unmapped,1,Airtasker,1
Sustainable Construction,Other / Unmapped,1,Checkatrade,1
Sutherland,Other / Unmapped,1,Rated People,1
Suzuki Service,Other / Unmapped,1,Airtasker,1
Sweets Delivery,Other / Unmapped,1,Airtasker,1
Swimming Pool Construction,Other / Unmapped,1,Checkatrade,1
Swimming Pool Design,Other / Unmapped,1,Rated People,1
Swimming Pool Installation,Other / Unmapped,1,Rated People,1
