service_family,sub_service,platform_count
Renewable Energy Services,Solar Energy Services,2
Renewable Energy Services,Solar Panel Repair,2
Renewable Energy Services,Air Source Heat Pump Repair,1
Renewable Energy Services,Ground Source Heat Pump Installation,1
Renewable Energy Services,Ground Source Heat Pump Repair,1
Roofing Services,General Roofing,5
Roofing Services,Fascia & Soffit Services,3
Roofing Services,Roof Installation,3
Roofing Services,Roof Repair,3
Roofing Services,Aluminium Guttering,2
Roofing Services,Gutter Repair,2
Roofing Services,Leadwork,2
Roofing Services,Roof Replacement,2
Roofing Services,Car Roof Lining Repair,1
Roofing Services,Chimney Repair,1
Roofing Services,Dormer / Roof Windows,1
Roofing Services,Downpipe Installation & Repair,1
Roofing Services,Drone Roof Inspection,1
Roofing Services,Dry Ridge Installation,1
Roofing Services,Dry Ridge Repair,1
Roofing Services,Dry Verge Installation,1
Roofing Services,Dry Verge Repair,1
Roofing Services,Fix Roof Windows,1
Roofing Services,Flat Roofing,1
Roofing Services,Gutter Guard Installation,1
Roofing Services,Guttering and Rainwater Pipe,1
Roofing Services,Lead flashing,1
Roofing Services,Ridged Tiles Installation,1
Roofing Services,Roof Coatings,1
Roofing Services,Roof Gardens,1
Roofing Services,Roof Inspection Report,1
Roofing Services,Roof Lights Installation,1
Roofing Services,Roof Lights Repair,1
Roofing Services,Skylight Installation,1
Roofing Services,Slate & Tiled Roof,1
Roofing Services,Solar Roof Servicing / Repair,1
Roofing Services,Thatched Roof,1
Roofing Services,Thatching,1
Roofing Services,Tile Repair,1
Roofing Services,UPVC Guttering,1
Roofing Services,Warm Roof Construction,1
Roofing Services,Zinc / Metal Roof,1
Roofing Services,custom roof trusses,1
Roofing Services,fibreglass roof specialist,1
Roofing Services,green roof companies,1
Roofing Services,lead flashing repairs,1
Roofing Services,lean to roof,1
Roofing Services,metal roof restoration,1
Roofing Services,ridge tile repairs,1
Roofing Services,roof and gutter repairs,1
Roofing Services,roof inspection and repair,1
Roofing Services,roof maintenance,1
Roofing Services,roof moss treatment,1
Roofing Services,roof slate suppliers,1
Roofing Services,roof tile replacement,1
Roofing Services,roof trusses,1
Roofing Services,shed roof refelting,1
Scaffolding Services,Scaffolding,2
Scaffolding Services,Emergency Scaffolding,1
Scaffolding Services,Scaffolding Hire,1
Security & Alarm Services,CCTV Installation,2
Security & Alarm Services,Fire Risk Assessment,2
Security & Alarm Services,Alarm Response,1
Security & Alarm Services,Alarm Servicing,1
Security & Alarm Services,Alarms / Security,1
Security & Alarm Services,Biometric Security Systems,1
Security & Alarm Services,Burglar Alarm - Installation,1
Security & Alarm Services,Burglar Alarm - Supply & Installation,1
Security & Alarm Services,Burglar Alarm - Supply Only,1
Security & Alarm Services,Burglar Alarm Installation,1
Security & Alarm Services,Burglar Alarm Repair,1
Security & Alarm Services,Burglar Alarm Servicing,1
Security & Alarm Services,"Burglar, Security & Intruder Alarm Installation",1
Security & Alarm Services,CCTV - Installation,1
Security & Alarm Services,CCTV - Supply & Installation,1
Security & Alarm Services,CCTV - Supply Only,1
Security & Alarm Services,CCTV / Satellites / Alarms,1
Security & Alarm Services,CCTV Repair,1
Security & Alarm Services,CCTV Surveys for Drains,1
Security & Alarm Services,Call / Door Entry Systems,1
Security & Alarm Services,Car Alarm System Repair,1
Security & Alarm Services,Emergency Alarms / Security Service,1
Security & Alarm Services,Event Security,1
Security & Alarm Services,Fire Extinguisher Services,1
Security & Alarm Services,Security Assessment,1
Security & Alarm Services,Security Barriers,1
Security & Alarm Services,Security Grill,1
Security & Alarm Services,Security Guard Services,1
Security & Alarm Services,Security Shutters / Grilles,1
Security & Alarm Services,Security System Installation,1
Security & Alarm Services,Security systems / Alarms,1
Security & Alarm Services,Smoke Alarm - Installation,1
Security & Alarm Services,Smoke Alarm Installation,1
Security & Alarm Services,Smoke Alarm Services,1
Security & Alarm Services,Van Security Locks,1
Security Systems,Access Control Systems,2
"Septic, Sewage & Drainage Infrastructure",Septic Tank Emptying,1
"Septic, Sewage & Drainage Infrastructure",Septic Tank Installation,1
"Septic, Sewage & Drainage Infrastructure",Septic Tank Repair,1
"Septic, Sewage & Drainage Infrastructure",Sewage Pump Installation,1
"Septic, Sewage & Drainage Infrastructure",Sewage Pump Maintenance,1
Smart Home & Automation,Home Cinema Installation,3
Smart Home & Automation,Home Automation,2
"Smart Home, Network & Cabling",Data & Network Cabling,2
"Smart Home, Network & Cabling",Home Network Setup,2
"Smart Home, Network & Cabling",Home Theatre,1
"Smart Home, Network & Cabling",Intercom Entry Systems,1
"Smart Home, Network & Cabling",Smart Heating Installation,1
"Smart Home, Network & Cabling",Smart Thermostat Installation,1
Software & Development Services,Android App Development,1
Software & Development Services,App Development,1
Software & Development Services,Database Services,1
Software & Development Services,Java Developer,1
Software & Development Services,Magento Developer,1
Software & Development Services,Mobile App Development,1
Software & Development Services,PHP Developer,1
Software & Development Services,Ruby Developer,1
Software & Development Services,SQL / Database Services,1
Software & Development Services,Shopify Developer,1
Software & Development Services,Software Development,1
Software & Development Services,Software Testing,1
Software & Development Services,Squarespace Developer,1
Software & Development Services,Website & App Testing,1
Software & Development Services,iOS App Development,1
Specialist Repair Services,Clock Repair,1
Specialist Repair Services,Pool Table Recovering,1
Specialist Repair Services,Sawblade Sharpening,1
Specialist Repair Services,Sharpening Services,1
Specialist Repair Services,Trampoline Repair,1
Stone & Masonry Services,Stonemasonry,3
Stone & Masonry Services,Stone Cladding,2
Stone & Masonry Services,Dry Stone Walling,1
Stone & Masonry Services,Flint / Stonework,1
Stone & Masonry Services,Stone Carving,1
Surface Treatment & Specialist Coatings,Blasting Services,1
Surface Treatment & Specialist Coatings,Emergency Surface Repair Service,1
Surface Treatment & Specialist Coatings,Glass Surface Repair,1
Surface Treatment & Specialist Coatings,Powder Coating,1
Surface Treatment & Specialist Coatings,Stain Protection,1
Surface Treatment & Specialist Coatings,Surface Repair,1
"TV, Aerial & Audio Visual Services",Aerial Installation,2
"TV, Aerial & Audio Visual Services",Satellite Installation,2
"TV, Aerial & Audio Visual Services",TV Repair,2
"TV, Aerial & Audio Visual Services",Aerial Repair,1
"TV, Aerial & Audio Visual Services",Amplifier Repair,1
"TV, Aerial & Audio Visual Services",Antenna Installation,1
"TV, Aerial & Audio Visual Services",Apple TV Setup,1
"TV, Aerial & Audio Visual Services",Audio / Visual Installation,1
"TV, Aerial & Audio Visual Services",Audio Visual,1
"TV, Aerial & Audio Visual Services",Communal Aerial / Satellites,1
"TV, Aerial & Audio Visual Services",Drone Aerial Roof & Building Surveying,1
"TV, Aerial & Audio Visual Services",Emergency TV Aerials / Satellite Service,1
"TV, Aerial & Audio Visual Services",Freesat Installation,1
"TV, Aerial & Audio Visual Services",Freeview Installation,1
"TV, Aerial & Audio Visual Services",Head Unit Installation,1
"TV, Aerial & Audio Visual Services",Sonos Speaker Repair,1
"TV, Aerial & Audio Visual Services",Sound & Audio Visual Installation,1
"TV, Aerial & Audio Visual Services",Speaker Repair,1
"TV, Aerial & Audio Visual Services",TV Aerials / Satellite Services,1
"TV, Aerial & Audio Visual Services",TV Installation,1
"TV, Aerial & Audio Visual Services",Television Points,1
"TV, Aerial & Audio Visual Services",Tv Aerial Fitters,1
Tailoring & Clothing Alterations,Alterations,1
Tailoring & Clothing Alterations,Coat Repair,1
Tailoring & Clothing Alterations,Dressmakers,1
Tailoring & Clothing Alterations,Prom Dressmaker,1
Tailoring & Clothing Alterations,Seamstress,1
Tailoring & Clothing Alterations,Suit Tailor,1
Tailoring & Clothing Alterations,Tailors,1
Tattoo & Piercing,Piercing Services,3
Tattoo & Piercing,Tattoo Services,2
Telecoms & Telephone Services,Telephone Engineering,2
Telecoms & Telephone Services,Cabling Services,1
Telecoms & Telephone Services,Fixed Line Services,1
Telecoms & Telephone Services,Telecommunications,1
Telecoms & Telephone Services,Telephone System Equipment,1
Telecoms & Telephone Services,VoIP Telephony,1
Therapy & Counselling,Therapy,3
Therapy & Counselling,Counselling,1
Tiling,General Tiling,3
Tiling,Wall & Bathroom Tiling,1
Training & Instruction,CPR Training,1
Training & Instruction,Cyber Security Training,1
Training & Instruction,Cycling Training,1
Training & Instruction,Drone Training,1
Training & Instruction,First Aid Training,1
Training & Instruction,Self Defence Classes,1
Training & Instruction,Trailer Towing Training,1
Transport & Transfer Services,Airport Transfers,1
Transport & Transfer Services,Caravan Transport,1
Transport & Transfer Services,General Transport Services,1
Transport & Transfer Services,Haulage,1
Transport & Transfer Services,Heavy Vehicle Transport,1
Transport & Transfer Services,Light Vehicle Transport,1
Transport & Transfer Services,Refrigerated Transportation,1
Transport & Transfer Services,Return Loads,1
Transport & Transfer Services,Transport Services,1
Tree & Grounds Services,Tree Felling,3
Tree & Grounds Services,Crown Reduction,2
Tree & Grounds Services,Crown Thinning,2
Tree & Grounds Services,Mulching,2
Tree & Grounds Services,Tree Pruning,2
Tree & Grounds Services,Tree Surgeons,2
Tree & Grounds Services,Grounds Maintenance,1
Tree & Grounds Services,Tree Lopper,1
Tree & Grounds Services,Tree Planting,1
Tree & Grounds Services,Tree Surgery / Consultancy,1
Tree & Grounds Services,Wood Chipping & Mulching,1
Tutoring & Lessons,General Tutoring & Lessons,2
Tutoring & Lessons,Driving Lessons,1
Tutoring & Lessons,English Tutoring,1
Tutoring & Lessons,Language Classes,1
Tutoring & Lessons,Maths Tutoring,1
Tutoring & Lessons,Music Lessons,1
Vehicle Graphics & Signage,Sign Writing,2
Vehicle Graphics & Signage,Vehicle Wrapping,2
Vehicle Graphics & Signage,Sign Making,1
Vehicle Graphics & Signage,Vehicle Signwriting,1
Vehicle Services,Car Body Repair,3
Vehicle Services,Car Valeting,3
Vehicle Services,MOT Testing,3
Vehicle Services,Tyre Services,3
Vehicle Services,Accident Repair,2
Vehicle Services,Alloy Wheel Repair,2
Vehicle Services,Bicycle Repair,2
Vehicle Services,Cambelt Replacement,2
Vehicle Services,Car Detailing,2
Vehicle Services,Dent Repair,2
Vehicle Services,Gearbox Repair,2
Vehicle Services,General Vehicle Repair,2
Vehicle Services,Mechanic,2
Vehicle Services,Mobile Mechanic,2
Vehicle Services,Scratch Repair,2
Vehicle Services,Tyre Fitting,2
Vehicle Services,Vehicle Servicing,2
Vehicle Services,Windscreen Repair,2
Vehicle Services,Agricultural Mechanic,1
Vehicle Services,Alternator Repair,1
Vehicle Services,Alternator Replacement,1
Vehicle Services,Bicycle Service,1
Vehicle Services,Brake Pad Replacement,1
Vehicle Services,Brake Repair,1
Vehicle Services,Breakdown Assistance,1
Vehicle Services,Bumper Repair,1
Vehicle Services,Car / Auto Electrics,1
Vehicle Services,Car Alarm Services,1
Vehicle Services,Car Audio,1
Vehicle Services,Car Battery Replacement,1
Vehicle Services,Car Bodywork,1
Vehicle Services,Car CD Player Installation,1
Vehicle Services,Car Dealerships,1
Vehicle Services,Car Diagnostics,1
Vehicle Services,Car Inspection,1
Vehicle Services,Car Ports,1
Vehicle Services,Car Sales / Commercial Sales,1
Vehicle Services,Car Seat Repair,1
Vehicle Services,Car Speaker Installation,1
Vehicle Services,Car Stereo Installation,1
Vehicle Services,Car Upholstery Repair,1
Vehicle Services,Car Wash,1
Vehicle Services,Clutch Replacement,1
Vehicle Services,Emergency Towing / Transportation Service,1
Vehicle Services,Engine Rebuild,1
Vehicle Services,Engine Rebuilding,1
Vehicle Services,Engine Replacement,1
Vehicle Services,Exhaust Repair,1
Vehicle Services,Fan Belt Replacement,1
Vehicle Services,Fuel Injection Repair,1
Vehicle Services,Fuel Pump Replacement,1
Vehicle Services,Garage Services,1
Vehicle Services,Glow Plug Replacement,1
Vehicle Services,Head Gasket Repair,1
Vehicle Services,Headlight Bulb Replacement,1
Vehicle Services,Ignition System Repair,1
Vehicle Services,Keyless Entry Installation,1
Vehicle Services,Mobile Car Air Conditioning,1
Vehicle Services,Mobile Car Battery Replacement,1
Vehicle Services,Mobile Motorcycle Mechanic,1
Vehicle Services,Moped Repair,1
Vehicle Services,Motor Home Sales,1
Vehicle Services,Motorcycle Mechanic,1
Vehicle Services,Motorcycle Sales,1
Vehicle Services,Motorcycle Seat Repair,1
Vehicle Services,Motorcycle Services,1
Vehicle Services,Motorcycle Transport,1
Vehicle Services,Motorhome Servicing,1
Vehicle Services,Oil & Filter Change,1
Vehicle Services,Panel Beating,1
Vehicle Services,Parking Sensor Replacement,1
Vehicle Services,Performance Tuning,1
Vehicle Services,Reversing Camera Installation,1
Vehicle Services,Scooter Services,1
Vehicle Services,Solar Battery Storage,1
Vehicle Services,Steering Wheel Repair,1
Vehicle Services,Suspension Repair,1
Vehicle Services,Timing Belt Replacement,1
Vehicle Services,Tow Bar Installation,1
Vehicle Services,Towing / Transportation,1
Vehicle Services,Towing Services,1
Vehicle Services,Tyre Repair,1
Vehicle Services,Van / Car Hire,1
Vehicle Services,Van Conversion,1
Vehicle Services,Vehicle Recovery,1
Vehicle Services,Vehicle Respraying,1
Vehicle Services,Vehicle Transport,1
Vehicle Services,Vehicle Wrapping,1
Vehicle Services,Wheel Alignment,1
Vehicle Services,Wheel Refurbishment,1
Vehicle Services,Wheel Tracking,1
Vehicle Services,Windscreen Replacement,1
Waste Services,House Clearance,3
Waste Services,Skip Hire,3
Waste Services,General Clearance,2
Waste Services,Office Clearance,2
Waste Services,Waste Collection,1
Waste Services,Waste Removal,1
"Waste, Clearance & Recycling",Christmas Tree Disposal,1
"Waste, Clearance & Recycling",Data Shredding,1
"Waste, Clearance & Recycling",Food Waste Disposal,1
"Waste, Clearance & Recycling",Household Waste Disposal,1
"Waste, Clearance & Recycling",Pallet Collection & Disposal,1
"Waste, Clearance & Recycling",Recycling,1
"Waste, Clearance & Recycling",Skip Bag Hire,1
"Waste, Clearance & Recycling",Waste Bag Collection,1
"Waste, Clearance & Recycling",Waste Water Treatment Plant Installations,1
"Water Treatment, Tanks & Pumps",Water Tank Services,3
"Water Treatment, Tanks & Pumps",Water Pump Services,2
"Water Treatment, Tanks & Pumps",Household Water Treatment,1
"Water Treatment, Tanks & Pumps",Rainwater Harvesting,1
"Water Treatment, Tanks & Pumps",Water Coolers Supply / Maintenance,1
"Water Treatment, Tanks & Pumps",Water Filtration,1
"Water Treatment, Tanks & Pumps",Water Pumps Installation,1
"Water Treatment, Tanks & Pumps",Water Pumps Repair,1
"Water Treatment, Tanks & Pumps",Water Purification,1
"Water Treatment, Tanks & Pumps",Water Softener Services,1
"Water Treatment, Tanks & Pumps",Water Softeners,1
"Water Treatment, Tanks & Pumps",Water Tanks and Immersion Heater,1
"Water Treatment, Tanks & Pumps",Well Pump Repair,1
"Water Treatment, Tanks & Pumps",water meter,1
Web & Digital Services,Design & Web,1
Web & Digital Services,Google Analytics,1
Web & Digital Services,Web,1
Web & Digital Services,Web Hosting,1
Web & Digital Services,Website Design,1
Windows & Glazing,Double Glazing,3
Windows & Glazing,Glazing & Glass Repair,2
Windows & Glazing,Window Installation,2
Windows & Glazing,Window Repair,2
"Writing, Translation & Language Services",Copywriting,2
"Writing, Translation & Language Services",Translation,2
"Writing, Translation & Language Services",Article Writing,1
"Writing, Translation & Language Services",Blog Writing,1
"Writing, Translation & Language Services",CV / Resume Writing,1
"Writing, Translation & Language Services",Case Study Writing,1
"Writing, Translation & Language Services",Creative Writing,1
"Writing, Translation & Language Services",General Writing Services,1
"Writing, Translation & Language Services",Ghostwriting,1
"Writing, Translation & Language Services",Journalism,1
"Writing, Translation & Language Services",LinkedIn Profile Writing,1
"Writing, Translation & Language Services",Photo Editing and Retouching,1
"Writing, Translation & Language Services",Poetry Writing,1
"Writing, Translation & Language Services",Press Release Writing,1
"Writing, Translation & Language Services",Proposal Writing,1
"Writing, Translation & Language Services",Report Writing,1
"Writing, Translation & Language Services",Speech Writing,1
"Writing, Translation & Language Services",Technical Drawing,1
"Writing, Translation & Language Services",Technical Writing,1
"Writing, Translation & Language Services",Transcription,1
"Writing, Translation & Language Services",Travel Writing,1
"Writing, Translation & Language Services",White Paper Writing,1
