borough_code,borough,ons_industry_group,local_unit_count
E09000010,Enfield,64-66 : Finance & insurance,205
E09000010,Enfield,68 : Property,915
E09000010,Enfield,"69-75 : Professional, scientific & technical",2120
E09000010,Enfield,77-82 : Business administration & support services,1535
E09000010,Enfield,84 : Public administration & defence,20
E09000010,Enfield,85 : Education,405
E09000010,Enfield,86-88 : Health,860
E09000010,Enfield,"90-99 : Arts, entertainment, recreation & other services",1160
E09000011,Greenwich,"01-03 : Agriculture, forestry & fishing",10
E09000011,Greenwich,05-39 : Production,395
E09000011,Greenwich,41-43 : Construction,1495
E09000011,Greenwich,45 : Motor trades,180
E09000011,Greenwich,46 : Wholesale,390
E09000011,Greenwich,47 : Retail,1205
E09000011,Greenwich,49-53 : Transport & Storage (inc. postal),445
E09000011,Greenwich,55-56 : Accommodation & food services,855
E09000011,Greenwich,58-63 : Information & communication,1090
E09000011,Greenwich,64-66 : Finance & insurance,100
E09000011,Greenwich,68 : Property,395
E09000011,Greenwich,"69-75 : Professional, scientific & technical",1670
E09000011,Greenwich,77-82 : Business administration & support services,1025
E09000011,Greenwich,84 : Public administration & defence,35
E09000011,Greenwich,85 : Education,355
E09000011,Greenwich,86-88 : Health,785
E09000011,Greenwich,"90-99 : Arts, entertainment, recreation & other services",980
E09000012,Hackney,"01-03 : Agriculture, forestry & fishing",30
E09000012,Hackney,05-39 : Production,820
E09000012,Hackney,41-43 : Construction,1730
E09000012,Hackney,45 : Motor trades,170
E09000012,Hackney,46 : Wholesale,810
E09000012,Hackney,47 : Retail,2140
E09000012,Hackney,49-53 : Transport & Storage (inc. postal),490
E09000012,Hackney,55-56 : Accommodation & food services,1380
E09000012,Hackney,58-63 : Information & communication,4795
E09000012,Hackney,64-66 : Finance & insurance,385
E09000012,Hackney,68 : Property,2115
E09000012,Hackney,"69-75 : Professional, scientific & technical",6150
E09000012,Hackney,77-82 : Business administration & support services,2445
E09000012,Hackney,84 : Public administration & defence,30
E09000012,Hackney,85 : Education,600
E09000012,Hackney,86-88 : Health,990
E09000012,Hackney,"90-99 : Arts, entertainment, recreation & other services",2055
E09000013,Hammersmith and Fulham,"01-03 : Agriculture, forestry & fishing",25
E09000013,Hammersmith and Fulham,05-39 : Production,380
E09000013,Hammersmith and Fulham,41-43 : Construction,845
E09000013,Hammersmith and Fulham,45 : Motor trades,120
E09000013,Hammersmith and Fulham,46 : Wholesale,565
E09000013,Hammersmith and Fulham,47 : Retail,1445
E09000013,Hammersmith and Fulham,49-53 : Transport & Storage (inc. postal),260
E09000013,Hammersmith and Fulham,55-56 : Accommodation & food services,975
E09000013,Hammersmith and Fulham,58-63 : Information & communication,1580
E09000013,Hammersmith and Fulham,64-66 : Finance & insurance,390
E09000013,Hammersmith and Fulham,68 : Property,735
E09000013,Hammersmith and Fulham,"69-75 : Professional, scientific & technical",2865
E09000013,Hammersmith and Fulham,77-82 : Business administration & support services,1485
E09000013,Hammersmith and Fulham,84 : Public administration & defence,95
E09000013,Hammersmith and Fulham,85 : Education,350
E09000013,Hammersmith and Fulham,86-88 : Health,610
E09000013,Hammersmith and Fulham,"90-99 : Arts, entertainment, recreation & other services",1265
E09000014,Haringey,"01-03 : Agriculture, forestry & fishing",15
E09000014,Haringey,05-39 : Production,530
E09000014,Haringey,41-43 : Construction,1545
E09000014,Haringey,45 : Motor trades,190
E09000014,Haringey,46 : Wholesale,580
E09000014,Haringey,47 : Retail,1430
E09000014,Haringey,49-53 : Transport & Storage (inc. postal),405
E09000014,Haringey,55-56 : Accommodation & food services,950
E09000014,Haringey,58-63 : Information & communication,1380
E09000014,Haringey,64-66 : Finance & insurance,130
E09000014,Haringey,68 : Property,805
E09000014,Haringey,"69-75 : Professional, scientific & technical",2320
E09000014,Haringey,77-82 : Business administration & support services,1125
E09000014,Haringey,84 : Public administration & defence,25
E09000014,Haringey,85 : Education,335
E09000014,Haringey,86-88 : Health,655
E09000014,Haringey,"90-99 : Arts, entertainment, recreation & other services",1450
E09000015,Harrow,"01-03 : Agriculture, forestry & fishing",20
E09000015,Harrow,05-39 : Production,325
E09000015,Harrow,41-43 : Construction,2550
E09000015,Harrow,45 : Motor trades,355
E09000015,Harrow,46 : Wholesale,720
E09000015,Harrow,47 : Retail,1475
E09000015,Harrow,49-53 : Transport & Storage (inc. postal),630
E09000015,Harrow,55-56 : Accommodation & food services,755
E09000015,Harrow,58-63 : Information & communication,1595
E09000015,Harrow,64-66 : Finance & insurance,320
E09000015,Harrow,68 : Property,1170
E09000015,Harrow,"69-75 : Professional, scientific & technical",2750
E09000015,Harrow,77-82 : Business administration & support services,1250
E09000015,Harrow,84 : Public administration & defence,10
E09000015,Harrow,85 : Education,320
E09000015,Harrow,86-88 : Health,960
E09000015,Harrow,"90-99 : Arts, entertainment, recreation & other services",865
E09000016,Havering,"01-03 : Agriculture, forestry & fishing",35
E09000016,Havering,05-39 : Production,435
E09000016,Havering,41-43 : Construction,3020
E09000016,Havering,45 : Motor trades,390
E09000016,Havering,46 : Wholesale,435
E09000016,Havering,47 : Retail,1050
E09000016,Havering,49-53 : Transport & Storage (inc. postal),610
E09000016,Havering,55-56 : Accommodation & food services,710
E09000016,Havering,58-63 : Information & communication,615
E09000016,Havering,64-66 : Finance & insurance,175
E09000016,Havering,68 : Property,415
E09000016,Havering,"69-75 : Professional, scientific & technical",1265
E09000016,Havering,77-82 : Business administration & support services,1080
E09000016,Havering,84 : Public administration & defence,25
E09000016,Havering,85 : Education,270
E09000016,Havering,86-88 : Health,665
E09000016,Havering,"90-99 : Arts, entertainment, recreation & other services",735
E09000017,Hillingdon,"01-03 : Agriculture, forestry & fishing",30
E09000017,Hillingdon,05-39 : Production,625
E09000017,Hillingdon,41-43 : Construction,2815
E09000017,Hillingdon,45 : Motor trades,480
E09000017,Hillingdon,46 : Wholesale,775
E09000017,Hillingdon,47 : Retail,1750
E09000017,Hillingdon,49-53 : Transport & Storage (inc. postal),1330
E09000017,Hillingdon,55-56 : Accommodation & food services,1025
E09000017,Hillingdon,58-63 : Information & communication,1335
E09000017,Hillingdon,64-66 : Finance & insurance,290
E09000017,Hillingdon,68 : Property,745
E09000017,Hillingdon,"69-75 : Professional, scientific & technical",1975
E09000017,Hillingdon,77-82 : Business administration & support services,1435
E09000017,Hillingdon,84 : Public administration & defence,55
E09000017,Hillingdon,85 : Education,340
E09000017,Hillingdon,86-88 : Health,765
E09000017,Hillingdon,"90-99 : Arts, entertainment, recreation & other services",950
E09000018,Hounslow,"01-03 : Agriculture, forestry & fishing",30
E09000018,Hounslow,05-39 : Production,430
E09000018,Hounslow,41-43 : Construction,1775
E09000018,Hounslow,45 : Motor trades,355
E09000018,Hounslow,46 : Wholesale,715
E09000018,Hounslow,47 : Retail,1550
E09000018,Hounslow,49-53 : Transport & Storage (inc. postal),1055
E09000018,Hounslow,55-56 : Accommodation & food services,925
E09000018,Hounslow,58-63 : Information & communication,1785
E09000018,Hounslow,64-66 : Finance & insurance,205
E09000018,Hounslow,68 : Property,680
E09000018,Hounslow,"69-75 : Professional, scientific & technical",2005
E09000018,Hounslow,77-82 : Business administration & support services,1305
E09000018,Hounslow,84 : Public administration & defence,30
E09000018,Hounslow,85 : Education,320
E09000018,Hounslow,86-88 : Health,645
E09000018,Hounslow,"90-99 : Arts, entertainment, recreation & other services",965
E09000019,Islington,"01-03 : Agriculture, forestry & fishing",30
E09000019,Islington,05-39 : Production,785
E09000019,Islington,41-43 : Construction,1530
E09000019,Islington,45 : Motor trades,160
E09000019,Islington,46 : Wholesale,900
E09000019,Islington,47 : Retail,2115
E09000019,Islington,49-53 : Transport & Storage (inc. postal),470
E09000019,Islington,55-56 : Accommodation & food services,1525
E09000019,Islington,58-63 : Information & communication,4160
E09000019,Islington,64-66 : Finance & insurance,685
E09000019,Islington,68 : Property,1120
E09000019,Islington,"69-75 : Professional, scientific & technical",5740
E09000019,Islington,77-82 : Business administration & support services,2490
E09000019,Islington,84 : Public administration & defence,50
E09000019,Islington,85 : Education,575
E09000019,Islington,86-88 : Health,995
E09000019,Islington,"90-99 : Arts, entertainment, recreation & other services",2150
E09000020,Kensington and Chelsea,"01-03 : Agriculture, forestry & fishing",50
E09000020,Kensington and Chelsea,05-39 : Production,310
E09000020,Kensington and Chelsea,41-43 : Construction,835
E09000020,Kensington and Chelsea,45 : Motor trades,90
