platform,raw_service,geography_scope,source_url,source_type,collection_date,coverage_note,platform_key,service_key,comparison_key,source_version
Rated People,Dry Lining & Plasterboard - Repair,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,dry lining and plasterboard - repair,rated people||dry lining and plasterboard - repair,V2
Rated People,Electric Boiler - Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,electric boiler - installation,rated people||electric boiler - installation,V2
Rated People,Electric Boiler - Repair,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,electric boiler - repair,rated people||electric boiler - repair,V2
Rated People,Electric Boiler - Service,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,electric boiler - service,rated people||electric boiler - service,V2
Rated People,Electric Car Charging Point Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,electric car charging point installation,rated people||electric car charging point installation,V2
Rated People,Electric Oven / Hob - Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,electric oven hob - installation,rated people||electric oven hob - installation,V2
Rated People,Electric Underfloor Heating,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,electric underfloor heating,rated people||electric underfloor heating,V2
Rated People,Electrical Inspection Condition Report,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,electrical inspection condition report,rated people||electrical inspection condition report,V2
Rated People,Electrical Installation / Testing,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,electrical installation testing,rated people||electrical installation testing,V2
Rated People,Emergency / 24 Hour Locksmith,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,emergency 24 hour locksmith,rated people||emergency 24 hour locksmith,V2
