borough_code,borough,service_family,vendor_supply_proxy,ons_group_count,borough_supply_rank,borough_supply_percentile
E09000019,Islington,"Architecture, Surveying & Planning",5740,1,5,87.9
E09000003,Barnet,"Architecture, Surveying & Planning",4515,1,6,84.8
E09000028,Southwark,"Architecture, Surveying & Planning",3960,1,7,81.8
E09000032,Wandsworth,"Architecture, Surveying & Planning",3755,1,8,78.8
E09000030,Tower Hamlets,"Architecture, Surveying & Planning",3425,1,9,75.8
E09000027,Richmond upon Thames,"Architecture, Surveying & Planning",3350,1,10,72.7
E09000020,Kensington and Chelsea,"Architecture, Surveying & Planning",3100,1,11,69.7
E09000022,Lambeth,"Architecture, Surveying & Planning",2925,1,12,66.7
E09000013,Hammersmith and Fulham,"Architecture, Surveying & Planning",2865,1,13,63.6
E09000006,Bromley,"Architecture, Surveying & Planning",2790,1,14,60.6
E09000009,Ealing,"Architecture, Surveying & Planning",2750,1,15,56.1
E09000015,Harrow,"Architecture, Surveying & Planning",2750,1,15,56.1
E09000008,Croydon,"Architecture, Surveying & Planning",2410,1,16,51.5
E09000014,Haringey,"Architecture, Surveying & Planning",2320,1,17,48.5
E09000024,Merton,"Architecture, Surveying & Planning",2170,1,18,45.5
E09000026,Redbridge,"Architecture, Surveying & Planning",2165,1,19,42.4
E09000005,Brent,"Architecture, Surveying & Planning",2145,1,20,39.4
E09000010,Enfield,"Architecture, Surveying & Planning",2120,1,21,36.4
E09000018,Hounslow,"Architecture, Surveying & Planning",2005,1,22,33.3
E09000017,Hillingdon,"Architecture, Surveying & Planning",1975,1,23,30.3
E09000031,Waltham Forest,"Architecture, Surveying & Planning",1910,1,24,27.3
E09000023,Lewisham,"Architecture, Surveying & Planning",1825,1,25,24.2
E09000021,Kingston upon Thames,"Architecture, Surveying & Planning",1745,1,26,21.2
E09000025,Newham,"Architecture, Surveying & Planning",1690,1,27,18.2
E09000011,Greenwich,"Architecture, Surveying & Planning",1670,1,28,15.2
E09000029,Sutton,"Architecture, Surveying & Planning",1270,1,29,12.1
E09000016,Havering,"Architecture, Surveying & Planning",1265,1,30,9.1
E09000004,Bexley,"Architecture, Surveying & Planning",1155,1,31,6.1
E09000002,Barking and Dagenham,"Architecture, Surveying & Planning",760,1,32,3.0
E09000033,Westminster,Asbestos & Hazardous Material Services,16185,2,1,100.0
E09000007,Camden,Asbestos & Hazardous Material Services,13085,2,2,97.0
E09000001,City of London,Asbestos & Hazardous Material Services,9235,2,3,93.9
E09000003,Barnet,Asbestos & Hazardous Material Services,8310,2,4,90.9
E09000012,Hackney,Asbestos & Hazardous Material Services,7880,2,5,87.9
E09000019,Islington,Asbestos & Hazardous Material Services,7270,2,6,84.8
E09000009,Ealing,Asbestos & Hazardous Material Services,5495,2,7,81.8
E09000006,Bromley,Asbestos & Hazardous Material Services,5395,2,8,78.8
E09000015,Harrow,Asbestos & Hazardous Material Services,5300,2,9,75.8
E09000028,Southwark,Asbestos & Hazardous Material Services,5010,2,10,72.7
E09000010,Enfield,Asbestos & Hazardous Material Services,4980,2,11,69.7
